key,species,phylum,genus
PH,phyliospadix,grasses,
ZO,zostera,grasses,
AC,articulated_coraline,grasses,
BH,diatom_mats,grasses,
BT,begglatoa,green_algae,
AP,acrosiphonia,green_algae,
CL,cladophora,green_algae,
CF,codium_fragile,green_algae,codium
CS,codium_setchelli,green_algae,codium
UL,ulva,green_algae,codium
AB,a_clathratum,brown_algae,agarum
AM,a_marginata,brown_algae,alaria
AA,a_nana,brown_algae,alaria
AF,a_fimbriatum,brown_algae,agarum
CP,colpomenia,brown_algae,alaria
CO,costaria,brown_algae,alaria
CY,cymathere,brown_algae,alaria
CG,cystoseria,brown_algae,alaria
DB,dictyota,brown_algae,alaria
DA,d_aculeata,brown_algae,desmarestia 
DF,d_follacea,brown_algae,desmarestia 
DL,d_ligulata,brown_algae,desmarestia 
DM,d_munda,brown_algae,desmarestia 
DV,d_viridis,brown_algae,desmarestia 
DY,dictyoneurym,brown_algae,desmarestia 
EG,egregia,brown_algae,desmarestia 
EI,eisenia,brown_algae,desmarestia 
FU,fucus,brown_algae,desmarestia 
HE,hedophyllum,brown_algae,desmarestia 
LB,l_bongardiana,brown_algae,laminaria
LS,l_saccharina,brown_algae,laminaria
LT,l_setchelli,brown_algae,laminaria
LY,l_yezoensis,brown_algae,laminaria
LE,leathesia,brown_algae,laminaria
LO,lessoniopsis,brown_algae,laminaria
MA,macrocystis,brown_algae,laminaria
NT,nereocystsic,brown_algae,laminaria
PV,pelvetiopsis,brown_algae,laminaria
PL,pleurophycus ,brown_algae,laminaria
PP,postella,brown_algae,laminaria
PT,pterygophora,brown_algae,laminaria
SL,scytosiphon,brown_algae,laminaria
SA,sargassum,brown_algae,laminaria
CN,constantinea,red_algae,
CR,cryptopheura,red_algae,
FA,fauchea,red_algae,
GI,gigartina,red_algae,
GR,gracllaria,red_algae,
HA,haloscaccion,red_algae,
IR,iridea,red_algae,iridea
PO,porphyra,red_algae,
PR,prionitis,red_algae,