key,species,phylum,type
PH,phyliospadix,grasses,algae
ZO,zostera,grasses,algae
AC,articulated_coraline,grasses,algae
BH,diatom_mats,grasses,algae
BT,begglatoa,green_algae,algae
AP,acrosiphonia,green_algae,algae
CL,cladophora,green_algae,algae
CF,codium_fragile,green_algae,algae
CS,codium_setchelli,green_algae,algae
UL,ulva,green_algae,algae
AB,a_clathratum,brown_algae,algae
AM,a_marginata,brown_algae,algae
AA,a_nana,brown_algae,algae
AF,a_fimbriatum,brown_algae,algae
CP,colpomenia,brown_algae,algae
CO,costaria,brown_algae,algae
CY,cymathere,brown_algae,algae
CG,cystoseria,brown_algae,algae
DB,dictyota,brown_algae,algae
DA,d_aculeata,brown_algae,algae
DF,d_follacea,brown_algae,algae
DL,d_ligulata,brown_algae,algae
DM,d_munda,brown_algae,algae
DV,d_viridis,brown_algae,algae
DY,dictyoneurym,brown_algae,algae
EG,egregia,brown_algae,algae
EI,eisenia,brown_algae,algae
FU,fucus,brown_algae,algae
HE,hedophyllum,brown_algae,algae
LB,l_bongardiana,brown_algae,algae
LS,l_saccharina,brown_algae,algae
LT,l_setchelli,brown_algae,algae
LY,l_yezoensis,brown_algae,algae
LE,leathesia,brown_algae,algae
LO,lessoniopsis,brown_algae,algae
MA,macrocystis,brown_algae,algae
NT,nereocystsic,brown_algae,algae
PV,pelvetiopsis,brown_algae,algae
PL,pleurophycus ,brown_algae,algae
PP,postella,brown_algae,algae
PT,pterygophora,brown_algae,algae
SL,scytosiphon,brown_algae,algae
SA,sargassum,brown_algae,algae
CN,constantinea,red_algae,algae
CR,cryptopheura,red_algae,algae
FA,fauchea,red_algae,algae
GI,gigartina,red_algae,algae
GR,gracllaria,red_algae,algae
HA,haloscaccion,red_algae,algae
IR,iridea,red_algae,algae
PO,porphyra,red_algae,algae
PR,prionitis,red_algae,algae
TC,tan_cup_coral,cnidarian,invertebrate
SC,pink_soft_coral,cnidarian,invertebrate
HF,flat_hydrocoral,cnidarian,invertebrate
HE,erect_hydrocoral,cnidarian,invertebrate
SP,sea_pen,cnidarian,invertebrate
HY,hydrozoans,cnidarian,invertebrate
PL,short_plumose_anenome,cnidarian,invertebrate
CA,crimson_anemone,cnidarian,invertebrate
PA,painted_anemone,cnidarian,invertebrate
WS,white_spot_anemone,cnidarian,invertebrate
FE,fish_eating_anemone,cnidarian,invertebrate
RA,stubby_rose_anemone,cnidarian,invertebrate
SR,stand_rose_anemone,cnidarian,invertebrate
SI,swimming_anemone,cnidarian,invertebrate
GA,green_surf_anemone,cnidarian,invertebrate
PT,pink_tip_anemone,cnidarian,invertebrate
AA,burrowing_anemone,cnidarian,invertebrate
BA,brooding_anemone,cnidarian,invertebrate
SA,strawberry_anemone,cnidarian,invertebrate
ZO,zooanthids,cnidarian,invertebrate
FD,feather_duster_worm,polychaetes,invertebrate
FW,filament_worm,polychaetes,invertebrate
SF,slime_feather_duster,polychaetes,invertebrate
GC,gumboot_chiton,chitons,invertebrate
LC,black_leather_chiton,chitons,invertebrate
OC,octopus,cephalopods,invertebrate
MS,moon_snail,gastropods,invertebrate
FS,fusitriton,gastropods,invertebrate
LH,leafy_hornmouth,gastropods,invertebrate
AG,red_turban_snail,gastropods,invertebrate
BT,black_turban,gastropods,invertebrate
PR,purple_ring_snail,gastropods,invertebrate
ME,hooded_nudibranch,nudibranch,invertebrate
DI,giant_dentronotus,nudibranch,invertebrate
CI,ciona_savignyl,tunicates,invertebrate
IC,ciona_intestinalis,tunicates,invertebrate
ST,invasive_stalked_turn,tunicates,invertebrate
SM,stalked_tunicate,tunicates,invertebrate
HA,sea_peach,tunicates,invertebrate
CF,broad_base_tunicate,tunicates,invertebrate
OT,orange_social_tunicate,tunicates,invertebrate
DD,didemnum,tunicates,invertebrate
CM,coumpnd_tun,tunicates,invertebrate
SL,solitary_tun,tunicates,invertebrate
OR,oyster,bivalves,invertebrate
MU,blue_mussels,bivalves,invertebrate
MC,california_museel,bivalves,invertebrate
PI,piddock,bivalves,invertebrate
SS,swimming_scallop,bivalves,invertebrate
RS,rock_scallop,bivalves,invertebrate
GF,green_false_jingle,bivalves,invertebrate
GB,giant_barnacle,crustaceans,invertebrate
TB,thatched_barnacle,crustaceans,invertebrate
OB,barnacle,crustaceans,invertebrate
RR,red_rock_crab,crustaceans,invertebrate
DC,dungeness_crab,crustaceans,invertebrate
CG,cancer_gracillis,crustaceans,invertebrate
CB,hairy_cancer_grab,crustaceans,invertebrate
PS,puget_sound_king_crab,crustaceans,invertebrate
HC,heart_crab,crustaceans,invertebrate
UC,umbrella_butterfly_crab,crustaceans,invertebrate
HM,helmet crab,crustaceans,invertebrate
PW,scaled_crab,crustaceans,invertebrate
KC,kelp_crab,crustaceans,invertebrate
RC,decorator_crab,crustaceans,invertebrate
CT,crab,crustaceans,invertebrate
SH,shrimp,crustaceans,invertebrate
PU,purple_urchin,echinoderms,invertebrate
SD,sand_dollar,echinoderms,invertebrate
SO,solaster,echinoderms,invertebrate
PB,giant_pink_star,echinoderms,invertebrate
CP,rose_star,echinoderms,invertebrate
PO,ochre_star,echinoderms,invertebrate
AM,bat_star,echinoderms,invertebrate
LS,leather_star,echinoderms,invertebrate
VS,vermillion_star,echinoderms,invertebrate
CS,cookie_star,echinoderms,invertebrate
CU,cushion_star,echinoderms,invertebrate
HR,blood_star,echinoderms,invertebrate
MT,mottled_star,echinoderms,invertebrate
PN,painted_star,echinoderms,invertebrate
VC,velcro_star,echinoderms,invertebrate
ZS,brittle_star,echinoderms,invertebrate
GE,basket_star,echinoderms,invertebrate
WC,white_cucumbers,echinoderms,invertebrate
CR,crinoids,echinoderms,invertebrate
BP,bryozoan_flat,bryozoa,invertebrate
LF,horse_clam,mollusk,invertebrate
NA.,tube_dwell_anemone,cnidarian,invertebrate
LA,sponge_erect,porifera,invertebrate
BB,sponge_flat,porifera,invertebrate
DG,red_sea_cucumber,echinoderms,invertebrate
AL,green_urchin,echinoderms,invertebrate
GH,pycnopodia,echinoderms,invertebrate
OP,orange_cuke,echinoderms,invertebrate
BF,cup_coral,cnidarian,invertebrate
LG,abalone,mollusk,invertebrate
RH,red_urchin,echinoderms,invertebrate
EN,geoduck,mollusk,invertebrate
RB,bryozoan_erect,bryozoa,invertebrate
RF,gian_plumose,cnidarian,invertebrate
FC,NA,NA,NA
SU,NA,NA,NA
DN,NA,NA,NA
DE,NA,NA,NA